,0,1
0,厦门大学,{'厦大总机：0592-2180000'}
1,厦门大学人事处,{'电话：0592-2186239'}
2,厦门大学人才招聘网,{'咨询电话：0592-2186239'}
3,厦门大学讲座报名系统 ,"{'联系电话：0592-2888315', '联系电话：0592-2184973', '联系电话：0592-2188693'}"
4,厦门大学学报哲学与社会科学版,"{'电话：2182366', '传真：2182366'}"
5,厦门大学新闻网,"{'联系电话：18760595607', '群号：59852716', '项目批准号：20720210092', '联系电话：2188924', '项目批准号：22003051', '联系电话：2187323', '联系电话：18438666889', '电 话：0592-2186440', '日前将视频资料发送至邮箱：37408941'}"
6,厦门大学国内合作办公室,"{'电话：0592-2187208', '传真：0592-2187208'}"
7,厦门大学国际学院,"{'翔安校区联系电话：0592-2181672', '漳州校区联系电话：0596-6288108'}"
8,厦门大学党委学生工作部,{'电话：0592-2186248'}
9,厦门大学招生办公室,"{'电话:0592-2188888', '传真:0592-2180256'}"
10,厦门大学科技处,"{'综合事务:2185815，2187957', '专项事务:2184282', '横向事务:2185633', '平台成果事务:2183408', '传真:2180407', '纵向事务:2181680，2184033 ,2180583', '账号:41000217090'}"
11,厦门大学国际学术交流中心,"{'逸夫楼总台：0592-2182623', '会议专线：0592-2185115', '科学艺术中心咖啡厅：0592-2188922', '蔡清洁楼前台：0592-2180501', '逸夫楼咖啡厅：0592-2187380', '逸夫楼中餐厅：0592-2184552', '总机：0592-2087988', '逸夫楼西餐厅：0592-2186571'}"
