,0,1
0,厦门大学,{'厦大总机：0592-2180000'}
1,厦门大学党委学生工作部,{'电话：0592-2186248'}
2,厦门市优秀成果奖,"{'统一社会信用代码:12100000', '联行号：10239300022', '传真：0592-2189107', '账号:41000217090', '电话：0592-2187332'}"
3,厦门大学科技处,"{'平台成果事务:2183408', '综合事务:2185815，2187957', '横向事务:2185633', '传真:2180407', '纵向事务:2181680，2184033 ,2180583', '专项事务:2184282', '账号:41000217090'}"
4,厦门大学招生办公室,"{'传真:0592-2180256', '电话:0592-2188888'}"
5,厦门大学新闻网,"{'联系电话：2188924', '项目批准号：22003051', '联系电话：2187323', '群号：59852716', '项目批准号：20720210092', '联系电话：18438666889'}"
6,厦门大学继续教育学院,{'客户服务热线：0592-2181726'}
7,厦门大学资产经营有限公司,"{'传真：0592-2184536', '电话：0592-2185282'}"
8,厦门大学讲座报名系统 ,"{'联系电话：0592-2188693', '联系电话：0592-2888315', '联系电话：0592-2184973'}"
9,厦门大学后勤集团,{'电话：0592-2187110'}
10,厦门大学国际学术交流中心,"{'逸夫楼总台：0592-2182623', '蔡清洁楼前台：0592-2180501', '逸夫楼中餐厅：0592-2184552', '总机：0592-2087988', '科学艺术中心咖啡厅：0592-2188922', '逸夫楼咖啡厅：0592-2187380', '逸夫楼西餐厅：0592-2186571', '会议专线：0592-2185115'}"
11,共青团厦门大学委员会,"{'电话：0592-2185575', '传真：0592-2186206'}"
12,厦门大学校务信箱系统,{'厦大总机：0592-2180000'}
13,厦门大学学生就业创业指导中心,"{'电话：0592-2184525', '邮箱：2184550', '传真：0592-2188160'}"
